unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1589500800,2020-05-15 00:00:00,EOS/USD,2.623,2.666,2.533,2.582,2284206.96,879176.5
1589414400,2020-05-14 00:00:00,EOS/USD,2.524,2.653,2.473,2.623,1953421.02,766003.3
1589328000,2020-05-13 00:00:00,EOS/USD,2.442,2.562,2.426,2.524,1375426.3,550674.6
1589241600,2020-05-12 00:00:00,EOS/USD,2.402,2.472,2.399,2.442,1096406.59,449940.2
1589155200,2020-05-11 00:00:00,EOS/USD,2.445,2.494,2.277,2.402,2225249.57,933960.5
1589068800,2020-05-10 00:00:00,EOS/USD,2.751,2.754,2.168,2.445,3538366.46,1451033.0
1588982400,2020-05-09 00:00:00,EOS/USD,2.756,2.838,2.735,2.751,1556361.16,558328.5
1588896000,2020-05-08 00:00:00,EOS/USD,2.762,2.826,2.702,2.756,2291518.73,829131.7
1588809600,2020-05-07 00:00:00,EOS/USD,2.66,2.8,2.591,2.762,2337279.26,861313.4
1588723200,2020-05-06 00:00:00,EOS/USD,2.774,2.825,2.622,2.66,1304704.77,474377.8
1588636800,2020-05-05 00:00:00,EOS/USD,2.775,2.831,2.72,2.774,765575.47,276263.2
1588550400,2020-05-04 00:00:00,EOS/USD,2.843,2.849,2.634,2.775,1734253.98,635696.8
1588464000,2020-05-03 00:00:00,EOS/USD,2.943,3.012,2.775,2.843,1357882.29,471001.4
1588377600,2020-05-02 00:00:00,EOS/USD,2.873,2.951,2.857,2.943,924183.93,318067.4
1588291200,2020-05-01 00:00:00,EOS/USD,2.824,2.932,2.821,2.873,1130319.53,393260.0
1588204800,2020-04-30 00:00:00,EOS/USD,3.01,3.12,2.75,2.824,3291307.84,1122576.9
1588118400,2020-04-29 00:00:00,EOS/USD,2.771,3.1,2.755,3.01,3985411.86,1362914.1
1588032000,2020-04-28 00:00:00,EOS/USD,2.749,2.78,2.691,2.771,1169711.58,427779.4
1587945600,2020-04-27 00:00:00,EOS/USD,2.742,2.822,2.684,2.749,1432311.61,520956.8
1587859200,2020-04-26 00:00:00,EOS/USD,2.705,2.782,2.675,2.742,1056593.5,388267.7
1587772800,2020-04-25 00:00:00,EOS/USD,2.709,2.816,2.66,2.705,1311015.07,481835.2
1587686400,2020-04-24 00:00:00,EOS/USD,2.682,2.739,2.661,2.709,752212.51,277802.6
1587600000,2020-04-23 00:00:00,EOS/USD,2.626,2.768,2.579,2.682,1442463.81,538920.2
1587513600,2020-04-22 00:00:00,EOS/USD,2.524,2.657,2.509,2.626,970378.15,373769.1
1587427200,2020-04-21 00:00:00,EOS/USD,2.513,2.574,2.485,2.524,859847.22,339739.6
1587340800,2020-04-20 00:00:00,EOS/USD,2.602,2.71,2.439,2.513,2221082.44,859182.4
1587254400,2020-04-19 00:00:00,EOS/USD,2.729,2.739,2.536,2.602,1798925.19,684411.4
1587168000,2020-04-18 00:00:00,EOS/USD,2.615,2.769,2.614,2.729,1556478.85,576344.0
