unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1580428800,2020-01-31 00:00:00,XLM/USD,0.06281,0.06297,0.05971,0.06051,1464208.6,23939240
1580342400,2020-01-30 00:00:00,XLM/USD,0.06079,0.06309,0.05962,0.06281,1523442.96,24884510
1580256000,2020-01-29 00:00:00,XLM/USD,0.06068,0.063,0.06,0.06079,1776597.62,28969156
1580169600,2020-01-28 00:00:00,XLM/USD,0.0596,0.06206,0.05902,0.06068,1379403.99,22850882
1580083200,2020-01-27 00:00:00,XLM/USD,0.05832,0.06063,0.05753,0.0596,1745133.86,29378158
1579996800,2020-01-26 00:00:00,XLM/USD,0.05585,0.0586,0.05575,0.05832,866725.9,15083282
1579910400,2020-01-25 00:00:00,XLM/USD,0.05704,0.0571,0.05554,0.05585,581850.68,10359817
1579824000,2020-01-24 00:00:00,XLM/USD,0.05822,0.05835,0.05468,0.05704,1754551.38,30964040
1579737600,2020-01-23 00:00:00,XLM/USD,0.0612,0.06124,0.05663,0.05822,2484262.27,42467066
1579651200,2020-01-22 00:00:00,XLM/USD,0.06259,0.06366,0.06059,0.0612,1359581.87,21882175
1579564800,2020-01-21 00:00:00,XLM/USD,0.06263,0.06449,0.0617,0.06259,1875661.11,29783225
1579478400,2020-01-20 00:00:00,XLM/USD,0.06001,0.0649,0.05923,0.06263,2561666.0,40729477
1579392000,2020-01-19 00:00:00,XLM/USD,0.0615,0.06601,0.05822,0.06001,2998475.08,48835155
1579305600,2020-01-18 00:00:00,XLM/USD,0.06078,0.06625,0.0575,0.0615,4992825.65,80120587
1579219200,2020-01-17 00:00:00,XLM/USD,0.0535,0.065,0.053,0.06078,7658796.58,128637734
1579132800,2020-01-16 00:00:00,XLM/USD,0.05487,0.05516,0.05194,0.0535,2255996.89,42259124
1579046400,2020-01-15 00:00:00,XLM/USD,0.05294,0.05697,0.05163,0.05487,3242294.37,59547587
1578960000,2020-01-14 00:00:00,XLM/USD,0.04817,0.05529,0.04811,0.05294,3260357.12,63269305
1578873600,2020-01-13 00:00:00,XLM/USD,0.04902,0.0491,0.04756,0.04817,455712.3,9464939
1578787200,2020-01-12 00:00:00,XLM/USD,0.04838,0.04929,0.04808,0.04902,424302.16,8696324
1578700800,2020-01-11 00:00:00,XLM/USD,0.048,0.0495,0.04741,0.04838,1081201.74,22300316
1578614400,2020-01-10 00:00:00,XLM/USD,0.0471,0.04813,0.0456,0.048,793282.69,16854968
1578528000,2020-01-09 00:00:00,XLM/USD,0.04768,0.04823,0.04691,0.0471,482604.47,10141307
1578441600,2020-01-08 00:00:00,XLM/USD,0.0485,0.04941,0.0468,0.04768,1118742.14,23159236
1578355200,2020-01-07 00:00:00,XLM/USD,0.05051,0.0513,0.0475,0.0485,1332553.09,26983762
1578268800,2020-01-06 00:00:00,XLM/USD,0.0455,0.05065,0.04541,0.05051,1400753.16,28714334
1578182400,2020-01-05 00:00:00,XLM/USD,0.04557,0.04625,0.04518,0.0455,442405.94,9668976
1578096000,2020-01-04 00:00:00,XLM/USD,0.04561,0.04576,0.0451,0.04557,330743.06,7275664
1578009600,2020-01-03 00:00:00,XLM/USD,0.04348,0.04569,0.0431,0.04561,673922.43,15078925
1577923200,2020-01-02 00:00:00,XLM/USD,0.04511,0.04529,0.0434,0.04348,480926.58,10885954
1577836800,2020-01-01 00:00:00,XLM/USD,0.04485,0.04553,0.04464,0.04511,529864.51,11751585
