unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1589241600,2020-05-12 00:00:00,LINK/USD,3.58,3.796,3.547,3.698,8432401.93,2275586.97
1589155200,2020-05-11 00:00:00,LINK/USD,3.769,3.835,3.301,3.58,17190804.57,4764490.32
1589068800,2020-05-10 00:00:00,LINK/USD,4.01,4.017,3.53,3.769,24141578.75,6441264.89
1588982400,2020-05-09 00:00:00,LINK/USD,3.805,4.208,3.767,4.01,27615107.09,6818268.09
1588896000,2020-05-08 00:00:00,LINK/USD,3.764,3.865,3.69,3.805,11430959.57,3014439.82
1588809600,2020-05-07 00:00:00,LINK/USD,3.588,3.857,3.567,3.764,14184281.67,3846376.91
1588723200,2020-05-06 00:00:00,LINK/USD,3.69,3.77,3.56,3.588,8023396.77,2173860.47
1588636800,2020-05-05 00:00:00,LINK/USD,3.757,3.815,3.652,3.69,5656745.89,1514816.73
1588550400,2020-05-04 00:00:00,LINK/USD,3.717,3.837,3.51,3.757,12562732.34,3419985.44
1588464000,2020-05-03 00:00:00,LINK/USD,3.823,3.87,3.65,3.717,7529608.11,2009818.44
1588377600,2020-05-02 00:00:00,LINK/USD,3.759,3.866,3.73,3.823,5716991.97,1500610.25
1588291200,2020-05-01 00:00:00,LINK/USD,3.712,3.923,3.707,3.759,9907795.61,2594957.58
1588204800,2020-04-30 00:00:00,LINK/USD,3.882,3.975,3.645,3.712,18157642.94,4781583.25
1588118400,2020-04-29 00:00:00,LINK/USD,3.65,4.0,3.633,3.882,20918979.29,5487263.78
1588032000,2020-04-28 00:00:00,LINK/USD,3.645,3.745,3.557,3.65,8718167.42,2385979.91
1587945600,2020-04-27 00:00:00,LINK/USD,3.723,3.75,3.466,3.645,15561790.27,4326771.1
1587859200,2020-04-26 00:00:00,LINK/USD,3.791,3.82,3.669,3.723,13380895.54,3581232.04
1587772800,2020-04-25 00:00:00,LINK/USD,3.781,3.908,3.734,3.791,9756421.86,2558293.53
1587686400,2020-04-24 00:00:00,LINK/USD,3.757,3.895,3.744,3.781,11209304.92,2937084.08
1587600000,2020-04-23 00:00:00,LINK/USD,3.68,3.92,3.602,3.757,16336364.78,4331775.39
1587513600,2020-04-22 00:00:00,LINK/USD,3.468,3.702,3.44,3.68,10937649.06,3027309.84
1587427200,2020-04-21 00:00:00,LINK/USD,3.444,3.578,3.39,3.468,11006371.92,3149753.48
1587340800,2020-04-20 00:00:00,LINK/USD,3.6,3.798,3.37,3.444,22810438.28,6391296.39
1587254400,2020-04-19 00:00:00,LINK/USD,3.786,3.82,3.506,3.6,16315332.3,4449878.28
1587168000,2020-04-18 00:00:00,LINK/USD,3.451,3.84,3.45,3.786,16684859.69,4557238.72
1587081600,2020-04-17 00:00:00,LINK/USD,3.486,3.531,3.373,3.451,10599530.74,3060907.29
1586995200,2020-04-16 00:00:00,LINK/USD,3.125,3.575,2.975,3.486,26216914.27,7935233.19
1586908800,2020-04-15 00:00:00,LINK/USD,3.25,3.317,3.088,3.125,15260014.95,4759441.6
1586822400,2020-04-14 00:00:00,LINK/USD,3.383,3.46,3.2,3.25,21418872.67,6433521.09
1586736000,2020-04-13 00:00:00,LINK/USD,3.424,3.474,3.201,3.383,25434115.46,7563050.85
1586649600,2020-04-12 00:00:00,LINK/USD,3.303,3.663,3.177,3.424,30623073.28,8873393.99
1586563200,2020-04-11 00:00:00,LINK/USD,3.226,3.446,3.071,3.303,24464596.64,7484943.94
1586476800,2020-04-10 00:00:00,LINK/USD,3.31,3.335,2.95,3.226,34102002.83,10898065.65
1586390400,2020-04-09 00:00:00,LINK/USD,3.18,3.475,3.117,3.31,29810864.9,8982413.83
1586304000,2020-04-08 00:00:00,LINK/USD,2.729,3.296,2.714,3.18,23489674.68,7811803.31
1586217600,2020-04-07 00:00:00,LINK/USD,2.562,2.918,2.56,2.729,27024578.91,9892255.9
1586131200,2020-04-06 00:00:00,LINK/USD,2.267,2.579,2.263,2.562,11547915.25,4746326.05
1586044800,2020-04-05 00:00:00,LINK/USD,2.32,2.33,2.249,2.267,1856320.76,812957.44
1585958400,2020-04-04 00:00:00,LINK/USD,2.3,2.373,2.258,2.32,3160507.03,1375532.92
1585872000,2020-04-03 00:00:00,LINK/USD,2.298,2.391,2.252,2.3,4198316.67,1810847.63
1585785600,2020-04-02 00:00:00,LINK/USD,2.278,2.45,2.245,2.298,8590783.08,3679099.09
1585699200,2020-04-01 00:00:00,LINK/USD,2.266,2.298,2.125,2.278,7840383.41,3520009.1
1585612800,2020-03-31 00:00:00,LINK/USD,2.141,2.3,2.115,2.266,6525047.69,2946341.13
