unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1585353600,2020-03-28 00:00:00,ETC/USD,4.923,4.956,4.65,4.839,1584727.61,330402.4
1585267200,2020-03-27 00:00:00,ETC/USD,5.11,5.228,4.865,4.923,1744990.3,343801.17
1585180800,2020-03-26 00:00:00,ETC/USD,5.045,5.131,4.941,5.11,1026023.45,203138.71
1585094400,2020-03-25 00:00:00,ETC/USD,5.094,5.29,4.905,5.045,1542127.01,303256.7
1585008000,2020-03-24 00:00:00,ETC/USD,5.0,5.2,4.906,5.094,2001329.93,396345.47
1584921600,2020-03-23 00:00:00,ETC/USD,4.599,5.097,4.529,5.0,1482225.98,303765.14
1584835200,2020-03-22 00:00:00,ETC/USD,5.004,5.231,4.536,4.599,1899984.88,391552.27
1584748800,2020-03-21 00:00:00,ETC/USD,4.894,5.15,4.678,5.004,1571476.57,318299.29
1584662400,2020-03-20 00:00:00,ETC/USD,5.068,5.539,4.423,4.894,3838331.89,755978.49
1584576000,2020-03-19 00:00:00,ETC/USD,4.636,5.459,4.479,5.068,3877256.27,783361.19
1584489600,2020-03-18 00:00:00,ETC/USD,4.645,4.702,4.322,4.636,1547633.89,341105.78
1584403200,2020-03-17 00:00:00,ETC/USD,4.521,5.0,4.391,4.645,2209045.5,470352.92
1584316800,2020-03-16 00:00:00,ETC/USD,5.028,5.032,4.04,4.521,3995927.05,902576.75
1584230400,2020-03-15 00:00:00,ETC/USD,4.809,5.299,4.585,5.028,2346082.27,474034.12
1584144000,2020-03-14 00:00:00,ETC/USD,5.611,5.62,4.6,4.809,3396389.58,680063.88
1584057600,2020-03-13 00:00:00,ETC/USD,4.1,7.17,3.5,5.611,10582141.42,2003188.47
1583971200,2020-03-12 00:00:00,ETC/USD,6.549,6.549,4.0,4.1,5470454.63,1115096.35
1583884800,2020-03-11 00:00:00,ETC/USD,6.815,6.898,6.12,6.549,1936169.16,301442.71
1583798400,2020-03-10 00:00:00,ETC/USD,6.942,7.011,6.629,6.815,1601670.41,234150.76
1583712000,2020-03-09 00:00:00,ETC/USD,6.582,7.35,6.334,6.942,3435893.97,510630.8
1583625600,2020-03-08 00:00:00,ETC/USD,7.818,7.818,6.21,6.582,4466575.43,635419.03
1583539200,2020-03-07 00:00:00,ETC/USD,8.239,8.25,7.77,7.818,1760618.71,219970.66
1583452800,2020-03-06 00:00:00,ETC/USD,8.202,8.33,7.919,8.239,1654989.73,202562.56
1583366400,2020-03-05 00:00:00,ETC/USD,8.01,8.485,7.989,8.202,2565123.07,312808.96
1583280000,2020-03-04 00:00:00,ETC/USD,8.493,8.527,7.62,8.01,3513068.85,436952.58
1583193600,2020-03-03 00:00:00,ETC/USD,8.46,8.65,8.16,8.493,1691717.6,202524.92
